candidate_id,rank,score,reasoning
CAND_0030953,14,285.59,"Search Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 56.0%."
CAND_0024466,15,285.13,Search Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 55.2%.
CAND_0084819,16,285.08,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 55.1%."
CAND_0091254,17,284.99,AI Research Engineer | 5.2 yrs in analytics & ML with 5.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 55.0%.
CAND_0021491,18,284.52,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 54.2%.
CAND_0004402,19,284.18,AI Research Engineer | 6.0 yrs in analytics & ML with 6.0+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 53.6%.
CAND_0022852,20,283.26,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 315. Semantic Match: 52.1%.
CAND_0040117,21,281.82,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 310. Semantic Match: 56.4%."
CAND_0000031,22,281.21,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 310. Semantic Match: 55.4%."
CAND_0053695,23,280.85,Recommendation Systems Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 310. Semantic Match: 54.8%.
CAND_0026532,24,280.76,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 310. Semantic Match: 54.6%."
CAND_0086151,25,280.56,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 310. Semantic Match: 54.3%."
CAND_0087364,26,280.43,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 310. Semantic Match: 54.0%."
CAND_0049896,27,277.45,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 55.8%."
CAND_0042506,28,277.18,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 55.3%."
CAND_0031593,29,277.13,"Search Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 55.2%."
CAND_0098952,30,276.91,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.8%.
CAND_0061339,31,276.9,Search Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.8%.
CAND_0064256,32,276.87,Junior ML Engineer | 6.4 yrs in analytics & ML with 6.4+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.8%.
CAND_0012957,33,276.8,"Search Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.7%."
CAND_0041568,34,276.79,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.7%."
CAND_0081686,35,276.64,Search Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.4%.
CAND_0065195,36,276.51,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.2%."
CAND_0076831,37,276.51,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.2%."
CAND_0070485,38,276.5,"Search Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.2%."
CAND_0037000,39,276.48,"Search Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.1%."
CAND_0025640,40,276.46,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.1%.
CAND_0058146,41,276.43,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 54.1%.
CAND_0036973,42,276.19,AI Research Engineer | 6.2 yrs in analytics & ML with 6.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 53.7%.
CAND_0020845,43,276.11,AI Research Engineer | 7.0 yrs in analytics & ML with 7.0+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 53.5%.
CAND_0061175,44,276.08,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 53.5%.
CAND_0022720,45,275.96,AI Research Engineer | 6.5 yrs in analytics & ML with 6.5+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 53.3%.
CAND_0069773,46,275.83,AI Research Engineer | 6.0 yrs in analytics & ML with 6.0+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 53.1%.
CAND_0067201,47,275.76,ML Engineer | 6.0 yrs in analytics & ML with 6.0+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 52.9%.
CAND_0042056,48,275.74,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 52.9%.
CAND_0005311,49,275.72,AI Research Engineer | 5.7 yrs in analytics & ML with 5.7+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 52.9%.
CAND_0036416,50,275.67,ML Engineer | 5.2 yrs in analytics & ML with 5.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 52.8%.
CAND_0096823,51,274.95,Data Scientist | 4.4 yrs in analytics & ML with 4.4+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 51.6%.
CAND_0043829,52,274.93,AI Research Engineer | 4.8 yrs in analytics & ML with 4.8+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 51.5%.
CAND_0090300,53,274.64,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 305. Semantic Match: 51.1%.
CAND_0061265,54,273.31,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 55.5%."
CAND_0052328,55,273.06,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 55.1%."
CAND_0017960,56,273.02,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 55.0%."
CAND_0011162,57,272.88,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.8%."
CAND_0041610,58,272.88,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.8%."
CAND_0018722,59,272.84,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.7%."
CAND_0030348,60,272.76,"Machine Learning Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.6%."
CAND_0005191,61,272.67,AI Specialist | 6.2 yrs in analytics & ML with 6.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.5%.
CAND_0054394,62,272.6,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.3%."
CAND_0011687,63,272.58,Senior NLP Engineer | Production ML at scale | 7.8+ yrs with 7.8+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.3%.
CAND_0014440,64,272.56,"Recommendation Systems Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 54.3%."
CAND_0078002,65,272.25,"Machine Learning Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 53.8%."
CAND_0066999,66,271.97,Recommendation Systems Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 300. Semantic Match: 53.3%.
CAND_0028793,67,269.09,"Search Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 55.1%."
CAND_0099401,68,269.09,"NLP Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 55.1%."
CAND_0006557,69,268.94,"NLP Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.9%."
CAND_0096172,70,268.92,NLP Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.9%.
CAND_0043304,71,268.88,Junior ML Engineer | 6.5 yrs in analytics & ML with 6.5+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.8%.
CAND_0083307,72,268.8,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.7%."
CAND_0064326,73,268.74,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.6%."
CAND_0054318,74,268.73,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.5%.
CAND_0057563,75,268.63,NLP Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.4%.
CAND_0074339,76,268.61,ML Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.3%.
CAND_0048509,77,268.56,AI Research Engineer | 4.2 yrs in analytics & ML with 4.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.3%.
CAND_0064130,78,268.54,AI Research Engineer | 6.7 yrs in analytics & ML with 6.7+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.2%.
CAND_0076251,79,268.52,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.2%."
CAND_0015528,80,268.45,Applied ML Engineer | Applied ML | Building intelligent products. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.1%.
CAND_0023587,81,268.43,ML Engineer | 3.2 yrs in analytics & ML with 3.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 54.1%.
CAND_0064904,82,268.35,"AI Engineer | ML, NLP, Recommendation Systems. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.9%."
CAND_0052706,83,268.32,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.9%.
CAND_0095184,84,268.18,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.6%.
CAND_0093540,85,268.16,ML Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.6%.
CAND_0011327,86,268.13,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.5%.
CAND_0072410,87,268.07,ML Engineer | 4.9 yrs in analytics & ML with 4.9+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.4%.
CAND_0036437,88,267.98,"Search Engineer | Search, Ranking & Retrieval. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.3%."
CAND_0015065,89,267.81,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 53.0%.
CAND_0011923,90,267.74,AI Research Engineer | Building ML-powered solutions. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.9%.
CAND_0040200,91,267.74,AI Research Engineer | 5.5 yrs in analytics & ML with 5.5+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.9%.
CAND_0010541,92,267.73,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.9%.
CAND_0060303,93,267.63,AI Research Engineer | 4.9 yrs in analytics & ML with 4.9+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.7%.
CAND_0023583,94,267.58,ML Engineer | 4.1 yrs in analytics & ML with 4.1+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.6%.
CAND_0039308,95,267.52,AI Research Engineer | 5.6 yrs in analytics & ML with 5.6+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.5%.
CAND_0095858,96,267.5,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.5%.
CAND_0086028,97,267.38,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.3%.
CAND_0080794,98,267.29,AI Research Engineer | 6.2 yrs in analytics & ML with 6.2+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 52.1%.
CAND_0022023,99,267.1,AI Research Engineer | Data Science & ML enthusiast. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 51.8%.
CAND_0041348,100,266.71,AI Research Engineer | 3.0 yrs in analytics & ML with 3.0+ years of experience. Shows relevant technical background with partial alignment to the Job Description. Feature Score: 295. Semantic Match: 51.2%.
